,name,country,event,date_of_violation,substance,sanction,references,flagged
290,Awatef Ben Hassine, Tunisia,Sprinting,2004,Norandrosterone,2 years,[98],1
291,Yassine Bensghir, Morocco,Middle distance,2014,Biological passport,4 years,[17][152],1
292,Yahya Berrabah, Morocco,Long jump,20092011,CannabisEPO,Public warning4 years (2nd ADRV),[37][153][154],1
293,Gwen Berry, United States,Hammer throw,2016,Use of a prohibited substance (Vilanterol Trifenatate),3 months,[88][155],1
294,Michael Berry, United States,Sprinting,2010,Cannabis,3 months,[32][156][157][158],1
295,Mariya Bespalova, Russia,Hammer throw,2015,Dehydrochloromethyltestosterone,4 years,[56][159],1
296,María Cristina Betancourt, Cuba,Discus throw,1983,,Life ban,[2][160],1
297,Kipyegon Bett, Kenya,800 m,2017,Erythropoietin out-of-competition test in November 2017,4 years,[161],1
298,Antonella Bevilacqua, Italy,High jump,1996,"Ephedrine, pseudoephedrine",,[162],1
299,Uwe Beyer, West Germany,Hammer throw,1960's/1970's,Anabolic steroids (self-admitted),—,[163] (in German)[164],1
300,Alemayehu Bezabeh, Spain,Middle/Long distance,2010,Use of a prohibited method (Operation Galgo),2 years,[10][97][165],1
301,Rajendra Bahadur Bhandari,   Nepal,Long distance,2006,Norandrosterone,2 years,[166],1
302,Quentin Bigot, France,Hammer throw,2014,Methandienone and Stanozolol,2 years,[167][168][169],1
303,Madina Biktagirova, Unified Team,Long distance,1992,Norephedrine,,[170],1
304,Yuriy Bilonoh, Ukraine,Shot put,2004 (Sample retested 2012),Oxandrolone,3 years,[13][171][172][173],1
305,Svetlana Biryukova, Russia,Long jump,2014,SARMs,2-year ban,[174][175],1
306,Dominique Blake, Jamaica,Sprinting,2006 2012,EphedrineMethylhexanamine,9 months 4 years and 6 months (Reduced from 6 years),[76][176][119][177][178][179],1
307,Yohan Blake, Jamaica,Sprinting,2009,4-Methyl-2-hexanamine,3 months,[37][63],1
308,José Luis Blanco, Spain,Middle distance,2010,EPO,2 years,[180],1
309,Zhanna Block, Ukraine,Sprinting,2002,BALCO scandal,2 years,[13][79][153],1
310,Lyudmyla Blonska, Ukraine,"Heptathlon, long jump",20032008,Stanozolol Methyltestosterone,2 years  Life ban,[181][182][3][183],1
311,Petr Bogatyrev, Russia,Race walking,2011,Biological passport anomalies,2 years,[47][145],1
312,Ato Boldon, Trinidad and Tobago,Sprinting,2001,Ephedrine,Public warning,[74],1
313,Scott Boothby, United States,Hammer throw,2006,"Finasteride, 6-oxo-androstenedione",4 years (Reduced from 8 years),[184][185][186],1
314,Valeriy Borchin, Russia,Race walking,20052009,Ephedrine  Biological passport anomalies,1 year  8 years,[187][108][109],1
315,Béranger-Aymard Bossé, Central African Republic,Sprinting,2016,Prednisolone,2 years,[16][17],1
316,Mihaela Botezan, Romania,Long distance,2007,Chlortalidone,2 years,[3][188][189],1
317,Chakir Boujattaoui, Morocco,Long-distance,2010,MIRCERA,2 years,[32][190],1
318,Brahim Boulami, Morocco,Steeplechace,2002,EPO,2 years,[191],1
319,Larbi Bouraada, Algeria,Decathlon,2012,Stanozolol,2 years,[30],1
320,Abderrahime Bouramdane, Morocco,Marathon,2011,Biological passport,2 years,[142][143][192],1
321,Zahra Bouras, Algeria,Middle-distance,2012,Stanozolol,2 years,[30],1
322,Sofiya Bozhanova, Bulgaria,Long/Triple jump,1994,Amphetamine,4 years,[193],1
323,Kevin Braunskill, United States,Sprinting,1994,Stanozolol,4 years,[194],1
324,Grit Breuer, Germany,Sprinting,1992,Clenbuterol,2 years,[195],1
325,Okkert Brits, South Africa,Pole vault,2003,Ephedrine,Public warning,[182][196],1
326,Damien Broothaerts, Belgium,Hurdling,2011,"Methylhexanamine, 3 whereabouts failures",1 year (Reduced from 2 years),[10][197],1
327,Alicia Brown, Canada,Sprinting,2013,Hydrochlorothiazide,2 years,[69][198][199],1
328,Erik de Bruin, Netherlands,"Discus throw, shot put",1993,"Testosterone, Stanozolol, hCG",4 years,[200],1
329,Ricky Bruch, Sweden,Discus throw,1960's/1970's,Anabolic steroids (self-admitted),—,[201] (in Swedish),1
330,Yelyzaveta Bryzhina, Ukraine,Sprinting,2013,Drostanolone,2 years,[13][30][76],1
331,Aleksandr Bulanov, Russia,Shot put,2009,Methandienone,2 years,[36][37],1
332,Viktor Burayev, Russia,Race walking,2008,EPO,2 years,[3][202],1
333,Tamara Bykova, Soviet Union,High jump,1990,Ephedrine,3 months,[203][204],1
334,Yolanda Caballero, Colombia,Long distance,20112014,Biological passportTampering,4 years,[16][17],1
335,Gary Cadogan, Great Britain,"Sprinting, hurdling",1998,Nandrolone,2 years,[205],1
336,Dorina Calenic, Romania,Long distance,1987,,,[1][2][206],1
337,Mehmet Çağlayan, Turkey,Long distance,2010,EPO,2 years,[32][112],1
338,Jillian Camarena-Williams, United States,Shot put,2013,Clomiphene,6 months,[207][208],1
339,John Capel, United States,Sprinting,2004  2006,CannabisCannabis,Public warning2 years,[209][210],1
340,Dean Capobianco, Australia,Sprinting,1996,Stanazolol,2 years (Reduced from 4 years),[211],1
341,Hector Carrasquillo, Puerto Rico,Sprinting,2011,Anabolic steroid,2 years,[10][212],1
342,LaMark Carter, United States,Triple jump,2004,Salbutamol,Public warning,[186][213][214],1
343,Silviu Casandra, Romania,Race walking,2002,,2 years,[215][216],1
344,Arnaud Casquette, Mauritius,Long jump,2005,Cannabis,6 months,[66][217],1
345,Víctor Castillo, Venezuela,Long jump,20062011,FurosemideMethylhexaneamine,2 years4 years,[218][21][34],1
346,Recep Çelik, Turkey,Race walking,2012,Metenolone,2 years,[79][219],1
347,Jolanda Čeplak, Slovenia,Middle distance,2007,EPO,2 years,[3][220][221],1
348,Dwain Chambers, Great Britain,Sprinting,2003,"THG, Testosterone, EPO, HGH, Insulin, Modafinil & Liothyronine",2 years,[13][182][222][223],1
349,Hafid Chani, Morocco,Long distance,2011,Biological passport,4 years,[69][70],1
350,Jamel Chatbi, Morocco,Steeplechase,2009,Clenbuterol,3 years,[13][36][37][224],1
351,Jani Chathurangani Silva, Sri Lanka,Sprinting,2006,Nandrolone,2 years,[3][36][225],1
352,David Chaussinand, France,Hammer throw,23 May 2002  24 June 2002,Metenolone  Clenbuterol,3 years,[226],1
353,Mouhcine Cheaouri, Morocco,Pole vault,2016,Stanozolol,4 years,[122][227],1
354,Emily Chebet, Kenya,"Long distance, cross country",2015,Furosemide,4 years,[56][159][228][229],1
355,Cristiana Checchi, Italy,Shot put,2003,Caffeine,Public warning,[230][231],1
356,Viktor Chegin, Russia,Coach,,"Administration of a prohibited substance, complicity",Life ban,[17][232],1
357,Abdelatif Chemlal, Morocco,Steeplechase,2004,Norandrosterone,2 years,[19][233][234],1
358,Flomena Chepchirchir, Kenya,Marathon,2014,,6 months,[167],1
359,Pamela Chepchumba, Kenya,Cross country running,2003,EPO,2 years,[230][235][236],1
360,Susan Chepkemei, Kenya,Long distance,2007,Salbutamol,1 year,[3][18][237],1
361,Svetlana Cherkasova, Russia,Middle distance,2007,Fraudulent substitution of urine,33 months,[13][37][238][239][240],1
362,Lada Chernova, Russia,Javelin throw,2008 2013,Metenolone  Bromantane,2 years  Life ban,[37][219][241][242][243][244],1
363,Tatyana Chernova, Russia,Heptathlon,2009,Oral Turinabol,2 years,[245][246],1
364,Lydia Cheromei, Kenya,Long distance,2005,Clomiphene,2 years,[247],1
365,Damu Cherry, United States,Hurdling,2003,Norandrosterone,2 years,[182][248],1
366,Silvano Chesani, Italy,High jump,2007,Formoterol,Public warning,[3][249],1
367,Christophe Cheval, France,Sprinting,2001,Nandrolone,2 years,[13][250],1
368,Dimitrios Chondrokoukis, Greece,High jump,2012,Stanozolol,2 years,[251][252][253],1
369,Fouad Chouki, France,Middle distance,2003,EPO,2 years,[13][182][254],1
370,Khalid Choukoud, Netherlands,Long distance,2007,Stanozolol,2 years,[3][255][256],1
371,Linford Christie, Great Britain,Sprinting,1999,Nandrolone,2 years,[257],1
372,Vivian Chukwuemeka, Nigeria,Shot put and discus,2009  2012,Oxymetholone  Stanozolol,2 years  Life ban,[92][119][258],1
373,Clement Chukwu, Nigeria,Sprinting,1992,,4 years,[259][260],1
374,Yelena Churakova, Russia,Hurdling,2013,Methandienone & Dehydrochloromethyltestosterone,2 years,[119][173][261],1
375,Hazel Clark, United States,Middle distance,2001,Pseudoephedrine,Public warning,[262],1
376,Venolyn Clarke, Canada,Sprinting,2001,Stanozolol,4 years,[13][263][264],1
377,Ramon Clay, United States,Sprinting,2000–2004,Steroids and hormones (BALCO scandal),2 years,[13][32][265][266],1
378,Luis Collazo, Puerto Rico,Long distance,2011,Exogenous steroids,2 years,[79][110],1
379,Michelle Collins, United States,Sprinting,2002–2004,"THG, EPO (BALCO scandal)",4 years (Reduced from 8 years),[45][267][268],1
380,Rosa Colorado, Spain,Hurdling,1980,Steroids,18 months,[1][2][13][269][270],1
381,Hannah Cooper, Liberia,Sprinting,1999,,,[13],1
382,Harold Connolly, United States,Hammer throw,1960's,Self-admitted; Anabolic steroids,–,[271][272],1
383,Jessica Cosby, United States,Hammer throw,2009,"Hydrochlorothiazide, chlorothiazide",4 months,[32][273][274],1
384,Nuno da Costa, Portugal,Cross country running,2011,EPO,2 years,[10][79][275],1
385,Daniela Costian, Romania,Discus throw,1986,,,.[1][276],1
386,Julie Coulaud, France,Middle/Long distance,2008,Testosterone,3 years,[3][36][277],1
387,Crystal Cox, United States,Sprinting,2002  2001–2004,Ephedrine (positive test) Anabolic steroids (self admitted),Public warning  4-year ban,[216][262][32][45][278][279],1
388,Shawn Crawford, United States,Sprinting,2012,3 whereabouts failures,2 years,[30][173][280][281],1
389,Olga Cristea, Moldova,Middle-distance,2010,Testosterone,2 years,[32][190][282],1
390,Nunu Abashidze, Soviet Union,Shot put,1981,,,[1][2],1
391,Ahmed Abd El Raouf, Egypt,Hammer throw,2008,Norandrosterone,2 years,[3][4],1
392,Inga Abitova, Russia,Long distance,2009,Biological passport anomalies,2 years,[5][6][7],1
393,Folashade Abugan, Nigeria,Sprinting,2010,Testosterone prohormone,2 years,[8][9][10],1
394,Ibrahim Mohamed Aden, Somalia,Middle distance,1999,Ephedrine,Public warning,[11][12][13],1
395,Tosin Adeloye, Nigeria,Sprinting,20122015,Metenolone  Exogenous steroids,2 years  8 years,[14][15][16][17],1
396,Funke Adeoye, Nigeria,Hammer throw,2007,Ephedrine,Public warning,[3][18][19][20],1
397,Alessandra Aguilar, Spain,Long distance,2011,,3 months,[21],1
398,Amina Aït Hammou, Morocco,Middle distance,2008,3 whereabouts failures,1 year,[3][22],1
399,Seltana Aït Hammou, Morocco,Middle distance,2008,3 whereabouts failures,1 year,[3][23],1
400,Chioma Ajunwa, Nigeria,"Long jump, sprinting",1992,,4 years,[24][25],1
401,Esther Akinsulie, Canada,Sprinting,2013,Hydrochlorothiazide,6 months,[26][27][28],1
402,Ashwini Akkunji, India,Sprinting,2011,Anabolic steroids,2 years,[29],1
403,Mary Akor Basley, United States,Marathon,2012,Clenbuterol,2 years,[14][30],1
404,Mikko Ala-Leppilampi, Finland,Long distance,1972,Self admittance of blood transfusions  (not illegal at the time),—,[31],1
405,Mariem Alaoui Selsouli, Morocco,Middle distance,2009 2012,EPOFurosemide,2 years  8 years,[13][32][33][34][35],1
406,Sultan Al-Dawoodi, Saudi Arabia,Discus throw,2009,Norandrosterone,2 years,[36][37],1
407,Denis Alekseyev, Russia,Sprinting,2013,Dehydrochloromethyltestosterone,2 years,[38][39],1
408,Barakat Al-Harthi, Oman,Sprinting,2011,Methylprednisolone,6 months,[40][41],1
409,Ghfran Almouhamad, Syria,Hurdling,2012,Methylhexaneamine,6 months,[7][42],1
410,Anna Alminova, Russia,Middle distance,2010  2009,Pseudoephedrine  Biological passport anomalies,3 months  30 months,[32][43][13][44][45],1
411,Anthony Alozie, Australia,Sprinting,2013,Three Whereabouts Failures,20 months,[30][46][47],1
412,Aslı Çakır Alptekin, Turkey,Middle distance/steeplechase,2004  2010,Metenolone  Biological passport,2 years  8 years,[48][49][50][51][52][53][54],1
413,Chinaza Amadi, Niger,Long jump,2015,Metenolone,4 years,[55][56],1
414,Gloria Amuche Nwosu, Nigeria,Sprinting,2005,Testosterone,2 years,[57],1
415,Anis Ananenka, Belarus,Middle distance,2015,GW1516,4 years,[58][59],1
416,Andreas Anastasopoulos, Greece,Shot put,2001,,2 years,[60],1
417,Georg Andersen, Norway,Shot put,1991,Metenolone,21 months,[13][61][62],1
418,Marvin Anderson, Jamaica,Sprinting,2009,4-Methyl-2-hexanamine,3 months,[37][63],1
419,Lyudmila Andonova, Bulgaria,High jump,1985,Amphetamine,18 months,[1][2][64],1
420,Yeorgios Andreou, Cyprus,Decathlon,2003,,2 years,[65],1
421,Vladimir Andreyev, Russia,Race walking,2005,Salbutamol,1 year,[66][67],1
422,Yuriy Andronov, Russia,Race walking,2014,Trimetazidine,2 years,[34][68],1
423,Ivanildo dos Anjos, Brazil,Long distance,2014,Hydrochlorothiazide,18 months,[69][70][71],1
424,Adrián Annus, Hungary,Hammer throw,2004,"Missed test, tampering",2 years,[72][73],1
425,Seema Antil, India,Discus throw,2000,Pseudoephedrine,Public warning,[74],1
426,Elena Antoci, Romania,Middle distance,2008,EPO,,[75],1
427,Olena Antonova, Ukraine,Discus throw,2009 (Retested 2013),Stanozolol,2 years,[13][30][76],1
428,Esref Apak, Turkey,Hammer throw,2013,Stanozolol,2 years,[14][30][77],1
429,Thozama April, South Africa,Long distance,2014,"Phentermine, Prednisolone, Norandrosterone",2 years,[69][70][78],1
430,Demetra Arachoviti, Greece,Hurdling,2012,Stanozolol,2 years,[79][80],1
431,Geisa Arcanjo, Brazil,Shot put,2010,Hydrochlorothiazide,Public warning,[81],1
432,Juana Arrendel, Dominican Republic,High jump,1999,Stanozolol,,[82],1
433,Katsiaryna Artsiukh, Kazakhstan,Hurdling,2010,Metenolone,2 years,[32][83],1
434,Natalya Artyomova, Russia,Middle distance,,Steroids,,[84],1
435,Tatiana Aryasova, Russia,Long distance,2012,Hydroxyethylstarch,2 years,[79][85][86],1
436,Elena Arzhakova, Russia,Middle distance,2011,Biological passport violation,2 years,[79][87],1
437,Malika Asahssah, Morocco,Long distance,2015,Stanozolol,4 years,[17][88],1
438,Delilah Asiago, Kenya,Long distance,1999,,,[89],1
439,Innocent Asonze, Nigeria,Sprinting,1999,,,[13][89],1
440,Wayne Athorne, Australia,Decathlon,,Methandienone (Dianabol),,[90],1
441,Duncan Atwood, United States,Javelin throw,1985,Stimulant,Life ban (later reduced),[2][91],1
442,Olutoyin Augustus  (Toyin Augustus), Nigeria,Hurdles,2009,Abnormal testosterone levels,2 years,[13][92],1
443,Anna Avdeyeva, Russia,Shot put,2013,Oral Turinabol (anabolic steroid),2 years,[76][93],1
444,Roman Avramenko, Ukraine,Javelin throw,20132015,DehydrochloromethyltestosteroneDehydrochloromethyltestosterone,2 years8 years,[13][30][76]  [94][95],1
445,Hussein Awada, Lebanon,Cross country running  Half marathon,2012,Nandrolone,2 years,[28][30],1
446,Mark Anthony Awere, Ghana,Long jump,2001,,3 months,[96],1
447,Bimbo Miel Ayedou, Benin,Sprinting,2012,Nandrolone,2 years,[40][97],1
448,Süreyya Ayhan, Turkey,Middle distance,20042007,"Interfering with testStanozolol, Methandienone",2 yearsLife ban,[98][36][37][99],1
449,Masoud Azizi, Afghanistan,Sprinting,2013,Nandrolone,2 years,[13][14][30],1
450,Ahmed Baday, Morocco,Long distance,2010,Biological passport anomalies,2 years,[13][100][101],1
451,Ndiss Kaba Badji, Senegal,"Long jump, triple jump",2005,Androstenedione,2 years,[66],1
452,Oleksandr Bagach, Soviet Union Ukraine,Shot put,1989  1997,Steroids  Ephedrine,2 years  Public warning and disqualification,[102][103] (in German)[13][104][105][106],1
453,José Alessandro Bagio, Brazil,Race walking,2010,19-Norandrosterone,2 years,[10][107],1
454,Amina Bakhit, Sudan,Middle distance,2009,Norandrosterone,2 years,[36][37],1
455,Sergey Bakulin, Russia,Race walking,2011,Biological passport anomalies,3 years and 2 months,[108][109],1
456,Živilė Balčiūnaitė, Lithuania,Long distance,2010,Testosterone,2 years,[110][111],1
457,Michal Balner, Czech Republic,Pole vault,2010,Cannabis,1 month,[32],1
458,Onalenna Baloyi, Botswana,Middle distance,2010,Methylhexanamine,2 years,[32][112],1
459,Yuliya Balykina, Belarus,Sprinting,2013,Drostanolone,2 years,[30][113],1
460,Falk Balzer, Germany,Hurdling,2001,Nandrolone,2 years,[114][115],1
461,Konstadinos Baniotis, Greece,High jump,2013,Furosemide,Public warning,[116][117],1
462,Jarrod Bannister, Australia,Javelin throw,2012,Three Whereabouts Failures within an 18-month period,20 months,[76][118][119],1
463,Kelly-Ann Baptiste, Trinidad and Tobago,Sprinting,,,2 years,[120][121],1
464,Shawnacy Barber, Canada,Pole vault,2016,Cocaine,Public warning,[122][123],1
465,Roberto Barbi, Italy,Marathon,1996  20012008,"Ephedrine EPO EPO, Ephedrine","3 months  4 years, reduced to 25 months  Life ban",[13][37][79][124][125][126],1
466,Roxana Bârcă, Romania,Long distance running,2013,Methasterone,2 years,[34][113],1
467,Randy Barnes, United States,Shot put,1990 1998,Methyltestosterone Androstenedione,27 months  Life ban,[127][128][129],1
468,Yarelys Barrios, Cuba,Discus throw,2008,Acetazolamide,,[130],1
469,Bruno de Barros, Brazil,Sprinting,2009,EPO,2 years,[36][37][131],1
470,Elias Bastos, Brazil,Cross country running,2014,Methyltestosterone,2 years,[69][70][132],1
471,Giuliano Battocletti, Italy,Long distance running,1999,Nandrolone,16 months,[133],1
472,Dieter Baumann, Germany,Long distance,1999,Nandrolone,2 years,[134],1
473,Julie Baumann, Canada,Hurdling,1989,Stanozolol,2 years,[1][135],1
474,Vadim Bavikin, Israel,Javelin throw,1994,Steroids,4 years,[136],1
475,Chantal Beaugeant, France,Heptathlon,1989,,2 years,[1][137][138][139],1
476,James Beckford, Jamaica,Long jump,1997,Ephedrine,3 months,[140],1
477,Violeta Beclea, Romania,Middle distance,1995,Steroids,4 years,[45][141],1
478,Chaltu Beji, Azerbaijan,Steeplechase,2015,Ostarine,4 years,[142][143][144],1
479,Alemitu Bekele, Turkey,Long distance,2009,Biological passport anomalies,2 years and 9 months,[13][47][145],1
480,Mimi Belete, Bahrain,Middle/Long distance,2010,Salbutamol,Public reprimand and disqualification,[32][146],1
481,Irina Belova, Russia,Heptathlon,1993,Testosterone,4 years,[45][147][148],1
482,Kenta Bell, United States,Triple jump,2007,Methylprednisolone,3 months,[149][150][151],1
483,Awatef Ben Hassine, Tunisia,Sprinting,2004,Norandrosterone,2 years,[98],1
484,Yassine Bensghir, Morocco,Middle distance,2014,Biological passport,4 years,[17][152],1
485,Yahya Berrabah, Morocco,Long jump,20092011,CannabisEPO,Public warning4 years (2nd ADRV),[37][153][154],1
486,Gwen Berry, United States,Hammer throw,2016,Use of a prohibited substance (Vilanterol Trifenatate),3 months,[88][155],1
487,Michael Berry, United States,Sprinting,2010,Cannabis,3 months,[32][156][157][158],1
488,Mariya Bespalova, Russia,Hammer throw,2015,Dehydrochloromethyltestosterone,4 years,[56][159],1
489,María Cristina Betancourt, Cuba,Discus throw,1983,,Life ban,[2][160],1
490,Kipyegon Bett, Kenya,800 m,2017,Erythropoietin out-of-competition test in November 2017,4 years,[161],1
491,Antonella Bevilacqua, Italy,High jump,1996,"Ephedrine, pseudoephedrine",,[162],1
492,Uwe Beyer, West Germany,Hammer throw,1960's/1970's,Anabolic steroids (self-admitted),—,[163] (in German)[164],1
493,Alemayehu Bezabeh, Spain,Middle/Long distance,2010,Use of a prohibited method (Operation Galgo),2 years,[10][97][165],1
